한남대학교 AI융합학과 재학 혹은 다전공 여부를 선택해 주세요.,착석위치,본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [1],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [2],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [3],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [4],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [5],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [6],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [7],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [8],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [9],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [10],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [11],본인이 강의실에서 주로 착석하는 좌석을 선택해 주세요.  [12],성별,키,시력,시력,평점평균,과목 흥미도,교수 친밀도,MBTI,수업 친구,대학생활만족도,본인이 선호하는 학습 방식을 입력해 주세요.,전자기기,강의실 도착 시간,화장실,"휴대폰 이용빈도
 ",학번,해당 강의의 재수강 여부를 입력해 주세요.,"본인이 강의실 좌석을 선택할 때 영향을 주는 요소가 있나요? 그 요소가 무엇인가요?
자유롭게 기술해 주세요."
예,중간,,,,,,A,,,,,,,여,163.4,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,
예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.7,4,5,외향성,3,5,개별 학습 선호,사용한다,5,0,1,23,재수강이 아니다.,교수님의 목소리가 잘 들리고 칠판도 잘 보여 집중이 잘된다.
예,뒤,,,,,,,,,,E,,,남,183,1,1,4.32,3,3,내향성,3,3,개별 학습 선호,사용한다,5,1,1,20,재수강이 아니다.,키
예,중간,,,B,B,"A, B",,,,,,,,남,177,1,1,3.8,3,3,내향성,6,3,개별 학습 선호,사용한다,15분전,0,0,21,재수강이 아니다.,에어컨
예,중간,,,,,C,,,,,,,,남,180,1,1,2.2,2,3,내향성,7,3,개별 학습 선호,사용한다,3,1,0,21,재수강이 아니다.,그냥 중간이 가장 좋은거 같다
예,뒤,,,,,,,,,,B,,,남,173,1,1,3.9,3,3,내향성,10,5,그룹 학습 선호,사용한다,10,1,2,23,재수강이 아니다.,너무 앞쪽이 아니면 그날 자리 상황에 따라 중간 혹은 뒤에 앉는다.
예,앞,B,,,,,,,,,,,,여,170,1,0.7,4.24,5,4,외향성,1,5,개별 학습 선호,사용한다,10,0,0,20,재수강이 아니다.,"앞에 앉아야 휴대폰을 안보게되고 더 집중이
잘 됨"
예,앞,D,,,,,,,,,,,,남,180,1,1,2.8,4,3,내향성,2명,3,그룹 학습 선호,사용한다,5,1,2,23,재수강이 아니다.,없다
예,앞,D,,,,,,,,,,,,여,162,0.5,0.5,3.6,5,5,외향성,2,5,개별 학습 선호,사용한다,10,0,2,23,재수강이 아니다.,시력
예,뒤,,,,,,,,,E,,,,남,172,1,1,3.9,3,1,내향성,5,4,개별 학습 선호,사용한다,20,0,1,21,재수강이 아니다.,X
예,앞,,D,,,,,,,,,,,여,163,0.8,0.8,3.89,5,3,내향성,3,4,개별 학습 선호,사용한다,20,0,1,20,재수강이 아니다.,부담스럽지않은 자리
예,앞,C,,,,,,,,,,,,여,155,-0.1,-0.1,4.3,5,4,내향성,2,3,그룹 학습 선호,사용한다,5,0,0,23,재수강이 아니다.,"칠판이 잘 보이는가, 교수님 목소리가 잘 들리는가"
예,앞,,D,,,,,,,,,,,남,173,1,1,3.82,4,5,외향성,3,3,그룹 학습 선호,사용한다,15,0,1,21,재수강이 아니다.,교수님과의 소통
예,중간,,,,,,C,,,,,,,여,160,1,1,3.99,3,3,내향성,1,3,그룹 학습 선호,사용한다,1,0,0,22,재수강이 아니다.,피피티 잘 보이는지 
아니오,중간,,,,,,,E,,,,,,남,172,1,1,3.82,3,3,내향성,3,3,그룹 학습 선호,사용한다,3분 전,0,0,23,재수강이 아니다.,약간 둿자리 선호 뭔가 마음이 편해짐
예,중간,,,,,,,B,,,,,,남,187,1,1,3.3,4,3,외향성,7,4,개별 학습 선호,사용한다,10,0,1,21,재수강이 아니다.,아는사람 앉아있는곳 주변
예,중간,,,,,,C,,,,,,,남,170,1,1,3.65,4,3,외향성,6,4,개별 학습 선호,사용한다,15분전,0,1,21,재수강이 아니다.,
예,중간,,,,,A,,,,,,,,여,162,1,0.9,4.29,4,2,내향성,0,4,개별 학습 선호,사용하지 않는다,20,0,0,22,재수강이 아니다.,
예,앞,C,,,,,,,,,,,,여,167,1,1,4.13,4,3,내향성,1,4,개별 학습 선호,사용한다,60,0,0,20,재수강이 아니다.,앞에 사람있으면 거슬려서
예,중간,,,,,D,,,,,,,,남,182,1,1,3.5,3,3,내향성,3,3,개별 학습 선호,사용한다,10,0,1,21,재수강이 아니다.,없음
예,앞,,,E,,,,,,,,,,남,175,1,1,3.97,3,3,내향성,3,3,개별 학습 선호,사용한다,10,0,2,21,재수강이 아니다.,칠판과의 거리. 멀면 안보임
아니오,중간,,,,,,B,,,,,,,남,180,0.4,0.4,3.4,3,2,내향성,6,3,개별 학습 선호,사용한다,7,0,1,21,재수강이 아니다.,없다.
예,중간,,,,A,,,,,,,,,남,183,0.1,0.3,1,3,4,내향성,임대훈,3,개별 학습 선호,사용한다,30분전,1,1,23,재수강이 아니다.,구석 앞자리
